index,date,symbol,price
118565,2011-01-03,UPS,73.18
118566,2011-01-03,URBN,35.459998999999996
118567,2011-01-03,URI,23.139999
118568,2011-01-03,USB,27.200001
118569,2011-01-03,UTX,79.190002
118570,2011-01-03,V,70.400002
118571,2011-01-03,VAR,69.790001
118572,2011-01-03,VFC,86.629997
118573,2011-01-03,VIAB,39.759997999999996
118574,2011-01-03,VLO,23.479997
118575,2011-01-03,VMC,44.91
118576,2011-01-03,VNO,83.910003
118577,2011-01-03,VRSK,34.130001
118578,2011-01-03,VRSN,32.990002000000004
118579,2011-01-03,VRTX,35.200001
118580,2011-01-03,VTR,52.919998
118581,2011-01-03,VZ,36.060001
118582,2011-01-03,WAT,78.300003
118583,2011-01-03,WBA,39.139998999999996
118584,2011-01-03,WDC,34.080002
118585,2011-01-03,WEC,58.860001000000004
118586,2011-01-03,WFC,31.299999
118587,2011-01-03,WFM,50.950001
118588,2011-01-03,WHR,89.730003
118589,2011-01-03,WM,37.080002
118590,2011-01-03,WMB,24.969938
118591,2011-01-03,WMT,54.23
118592,2011-01-03,WU,18.67
118593,2011-01-03,WY,19.209999
118594,2011-01-03,WYN,30.25
118595,2011-01-03,WYNN,106.25
118596,2011-01-03,XEC,89.690002
118597,2011-01-03,XEL,23.67
118598,2011-01-03,XL,22.049999
118599,2011-01-03,XLNX,29.280001000000002
118600,2011-01-03,XOM,73.720001
118601,2011-01-03,XRAY,34.459998999999996
118602,2011-01-03,XRX,11.62
118603,2011-01-03,YHOO,16.809998999999998
118604,2011-01-03,YUM,49.3
118605,2011-01-03,ZBH,54.099998
118606,2011-01-03,ZION,24.74
118607,2011-01-03 00:00:00,AIV,26.040001
118608,2011-01-04,A,41.989999
118609,2011-01-04,AAL,10.73
118610,2011-01-04,AAP,65.459999
118611,2011-01-04,AAPL,332.439999
118612,2011-01-04,ABC,34.43
118613,2011-01-04,ABT,48.039956
118614,2011-01-04,ACN,48.75
118615,2011-01-04,ADBE,31.280001000000002
118616,2011-01-04,ADI,38.200001
118617,2011-01-04,ADM,30.440001000000002
118618,2011-01-04,ADP,46.960003
118619,2011-01-04,ADS,72.58000200000001
118620,2011-01-04,ADSK,39.279999
118621,2011-01-04,AEE,28.32
118622,2011-01-04,AEP,36.419998
118623,2011-01-04,AES,12.52
118624,2011-01-04,AET,31.1
118625,2011-01-04,AFL,57.540001000000004
118626,2011-01-04,AGN,51.669998
118627,2011-01-04,AIG,57.990002000000004
118628,2011-01-04,AIZ,38.66
118629,2011-01-04,AJG,29.5
118630,2011-01-04,AKAM,48.450001
118631,2011-01-04,ALB,56.080002
118632,2011-01-04,ALK,58.310001
118633,2011-01-04,ALL,32.240002000000004
118634,2011-01-04,ALXN,81.370003
118635,2011-01-04,AMAT,14.06
118636,2011-01-04,AME,39.67
118637,2011-01-04,AMG,100.739998
118638,2011-01-04,AMGN,55.77
118639,2011-01-04,AMP,59.41
118640,2011-01-04,AMT,51.630001
118641,2011-01-04,AMZN,186.149994
118642,2011-01-04,AN,28.469998999999998
118643,2011-01-04,ANTM,57.849998
118644,2011-01-04,AON,45.540001000000004
118645,2011-01-04,APA,121.779999
118646,2011-01-04,APC,76.75
118647,2011-01-04,APD,90.499999
118648,2011-01-04,APH,53.419998
118649,2011-01-04,ARNC,16.450013000000002
118650,2011-01-04,ATVI,12.55
118651,2011-01-04,AVB,114.089996
118652,2011-01-04,AVGO,27.799999
118653,2011-01-04,AVY,42.029999
118654,2011-01-04,AWK,25.639999
118655,2011-01-04,AXP,44.41
118656,2011-01-04,AYI,59.389998999999996
118657,2011-01-04,AZO,269.149994
118658,2011-01-04,BA,66.790001
118659,2011-01-04,BAC,14.23
118660,2011-01-04,BAX,50.77
118661,2011-01-04,BBBY,49.549999
118662,2011-01-04,BBT,27.0
118663,2011-01-04,BBY,35.049999
118664,2011-01-04,BCR,92.290001
118665,2011-01-04,BDX,84.75
118666,2011-01-04,BEN,114.049999
118667,2011-01-04,BHI,57.349998
118668,2011-01-04,BIIB,67.0
118669,2011-01-04,BK,30.799999
118670,2011-01-04,BLK,191.259995
118671,2011-01-04,BLL,69.110001
118672,2011-01-04,BMY,26.67
118673,2011-01-04,BSX,7.55
118674,2011-01-04,BWA,74.07
